Row Labels,Sum of SALES,,,,,Row Labels,Sum of SALES
EMEA,"$4,979,272",,,,,2003,"$3,516,980"
NA,"$3,852,061",,,,,Jan,"$129,754"
APAC,"$746,122",,,,,Feb,"$140,836"
Japan,"$455,173",,,,,Mar,"$174,505"
Grand Total,"$10,032,629",,,,,Apr,"$201,610"
,,,,,,May,"$192,673"
,,,,,,Jun,"$168,083"
,,,,,,Jul,"$187,732"
,,,,,,Aug,"$197,809"
,,,,,,Sep,"$263,973"
,,,,,,Oct,"$568,291"
,,,,,,Nov,"$1,029,838"
,,,,,,Dec,"$261,876"
,,,,,,2004,"$4,724,163"
,,,,,,Jan,"$316,577"
,,,,,,Feb,"$311,420"
,,,,,,Mar,"$205,734"
,,,,,,Apr,"$206,148"
,,,,,,May,"$273,438"
,,,,,,Jun,"$286,674"
,,,,,,Jul,"$327,144"
,,,,,,Aug,"$461,501"
,,,,,,Sep,"$320,751"
,,,,,,Oct,"$552,924"
,,,,,,Nov,"$1,089,048"
,,,,,,Dec,"$372,803"
,,,,,,2005,"$1,791,487"
,,,,,,Jan,"$339,543"
,,,,,,Feb,"$358,186"
,,,,,,Mar,"$374,263"
,,,,,,Apr,"$261,633"
,,,,,,May,"$457,861"
,,,,,,Grand Total,"$10,032,629"
